Open,Close
588.69,588.97
589.37,586.0
586.6,585.52
585.08,584.57
584.57,585.52
585.52,586.11
586.11,586.65
587.36,587.95
587.63,587.64
587.64,586.24
586.24,587.72
587.8,587.35
587.12,587.02
587.76,588.46
588.5,589.0
589.12,589.32
589.07,589.6
589.62,589.2
589.52,589.01
589.01,589.45
589.45,589.99
589.99,590.18
590.51,589.69
589.51,589.55
589.69,588.11
588.1,586.41
586.41,587.0
587.11,586.4
586.03,587.1
587.4,588.49
588.49,588.71
588.01,588.61
588.5,588.33
588.28,588.6
588.4,588.99
588.85,585.14
585.8,584.72
584.2,583.75
583.71,583.48
583.17,584.01
584.01,585.92
585.32,586.01
586.1,585.97
585.97,585.43
585.0,585.22
585.4,585.55
585.98,585.29
585.76,585.9
585.7,585.9
585.88,586.01
586.02,588.49
588.38,590.67
590.67,594.0
594.24,592.47
592.21,595.0
595.0,594.22
594.22,595.0
594.6,593.15
593.62,594.64
594.5,594.56
594.55,600.12
600.14,603.08
603.11,604.65
604.67,607.0
607.03,610.0
609.84,608.09
608.09,602.57
602.57,605.97
605.97,605.94
605.62,604.6
604.6,603.84
603.84,604.18
604.86,606.37
606.37,607.79
608.3,605.8
606.25,605.29
605.73,609.05
609.05,608.66
608.6,609.51
609.11,610.5
610.34,611.58
611.58,612.2
595.88,597.02
597.02,597.79
597.79,597.23
597.23,598.73
598.73,598.36
598.36,598.66
598.66,597.99
597.99,597.67
597.76,597.54
597.55,597.35
597.35,597.83
597.83,598.58
598.78,598.88
598.82,598.83
598.83,598.26
598.27,598.1
598.1,596.99
596.99,597.0
597.36,596.04
596.04,595.76
595.33,595.17
594.87,595.06
595.46,595.37
595.11,594.65
594.65,598.05
598.05,605.0
605.0,604.71
604.7,605.0
604.92,605.49
605.3,605.4
605.4,605.0
605.0,605.15
605.15,608.59
608.51,605.4
605.4,606.02
606.62,606.1
606.41,605.24
605.81,606.13
606.58,607.08
607.08,607.5
607.48,607.5
607.5,608.34
608.77,608.0
608.0,606.63
606.63,606.22
606.2,606.61
606.61,603.61
603.65,604.65
604.65,605.99
605.99,606.99
606.99,606.73
606.66,607.4
607.27,604.3
604.32,604.46
604.47,605.34
605.34,605.11
605.17,605.77
605.77,605.91
605.91,605.87
605.87,606.5
606.64,607.08
607.47,606.98
606.98,607.4
606.68,607.91
608.41,608.93
608.93,608.45
608.8,609.0
608.74,610.07
610.07,609.0
609.19,610.0
610.0,609.32
609.33,610.2
610.2,611.68
611.68,612.5
612.5,615.15
615.09,614.77
614.77,615.22
615.23,616.59
616.03,615.15
615.15,616.9
616.9,616.82
615.88,613.34
613.34,613.16
613.33,613.1
612.56,611.84
611.84,613.54
613.82,614.59
613.82,613.94
613.94,614.2
614.2,613.7
613.26,615.08
614.35,614.92
513.49,511.17
511.17,507.68
507.5,511.12
511.49,516.97
517.01,517.0
516.99,515.42
514.0,513.69
513.7,509.97
509.97,513.06
513.13,515.72
515.33,514.39
513.89,507.54
